257,196,187,182,180
257,195,186,182,180
255,196,186,182,180
250,197,187,182,180
245,202,186,181,180
248,201,187,182,180
245,200,186,182,180
243,200,187,182,180
238,199,186,182,180
227,199,186,182,180
224,200,186,181,180
220,197,188,182,180
219,197,186,182,180
221,198,186,182,180
219,200,187,181,180
223,200,188,182,180
223,202,187,181,180
226,203,186,182,180
225,205,187,182,179
230,205,184,182,180
229,205,185,182,180
233,206,185,182,180
234,205,185,182,180
240,207,185,182,180
239,205,184,182,181
237,206,185,181,180
236,204,186,182,180
237,205,186,182,180
240,203,186,182,180
241,204,185,182,180
242,204,184,182,180
245,202,186,182,180
249,201,185,182,180
248,199,186,182,180
249,201,187,182,180
248,200,186,181,180
245,199,185,182,180
246,200,185,181,180
245,198,185,182,180
241,199,186,182,180
238,198,185,182,180
232,196,187,181,180
215,195,187,182,180
205,193,188,182,180
206,195,187,182,180
205,197,189,182,180
210,193,187,182,180
213,197,187,182,180
216,200,188,182,180
222,203,187,182,179
228,203,188,182,180
234,199,187,182,180
236,199,188,182,179
239,196,188,182,180
241,198,186,182,180
242,200,186,182,180
242,198,187,182,180
240,199,185,181,180
232,197,190,182,179
221,195,189,182,180
207,192,189,182,180
197,193,189,181,180
192,195,189,182,180
188,193,187,182,180
195,196,189,182,180
190,197,188,182,180
198,197,190,182,180
201,198,187,182,180
208,199,189,182,180
229,199,189,181,180
223,199,188,182,180
220,204,187,182,180
222,204,185,182,180
227,207,185,181,180
223,204,185,182,180
219,203,184,182,180
222,202,183,182,180
219,199,188,182,179
215,199,187,182,180
212,196,185,182,180
215,199,187,182,180
213,200,186,182,180
216,198,187,182,180
216,198,186,182,180
217,195,185,182,180
216,194,185,182,180
215,197,185,182,180
214,199,185,182,180
219,198,184,182,180
221,199,184,182,180
228,197,185,182,180
237,199,184,181,180
246,198,184,182,180
245,200,185,181,180
246,199,186,182,180
239,197,185,182,180
240,199,186,182,180
239,198,186,182,180
233,200,187,181,180
227,199,185,182,180
216,198,189,182,180
208,196,189,182,180
207,196,189,182,180
213,196,189,182,180
215,195,188,182,180
214,196,190,182,180
213,196,189,182,180
213,198,189,182,180
210,197,189,182,180
210,198,189,182,180
210,196,189,182,180
210,198,189,182,180
210,198,189,182,180
211,199,189,182,180
208,197,190,182,180
206,194,188,182,180
203,195,190,182,180
199,197,189,182,180
200,196,189,181,180
202,196,188,182,180
204,196,189,182,180
203,196,188,182,180
202,197,189,182,180
201,198,190,182,180
198,197,188,182,180
197,199,191,182,180
193,197,189,182,180
193,196,190,182,180
193,196,189,182,180
188,198,188,182,180
190,198,187,182,180
191,197,187,182,180
191,197,188,181,180
192,196,189,182,180
191,194,191,182,180
194,197,189,181,180
197,197,192,182,180
196,199,190,182,180
196,200,190,182,180
199,203,191,181,180
202,202,191,182,180
202,203,193,181,179
202,203,191,182,180
203,202,192,182,180
202,203,190,182,180
200,205,191,182,180
200,206,192,181,180
199,209,191,182,180
194,208,192,182,180
195,205,192,182,180
200,209,193,182,180
197,209,194,182,180
192,209,194,182,180
198,209,196,182,180
189,209,198,182,180
189,209,200,182,180
188,205,199,182,180
189,209,199,182,180
184,204,200,182,180
186,202,203,182,180
183,202,206,182,180
184,200,203,182,181
185,198,204,181,180
183,200,208,183,179
183,198,207,186,179
181,196,201,184,180
183,198,204,194,183
189,199,200,197,184
187,199,200,200,184
186,197,198,200,184
186,199,197,204,185
185,200,199,207,185
187,199,197,208,187
187,201,199,208,184
187,199,196,210,192
185,198,196,206,192
186,198,193,209,194
186,194,194,211,195
186,194,195,211,196
185,191,196,217,196
181,195,193,216,200
181,190,191,223,202
181,192,190,219,203
179,194,189,220,201
183,190,188,220,201
183,190,192,223,200
183,190,189,222,199
182,192,187,222,200
183,189,186,223,201
182,192,188,222,201
183,188,187,221,199
180,187,189,219,199
181,189,190,222,200
180,191,190,220,201
181,191,190,217,197
180,191,194,213,199
181,193,193,214,198
182,192,194,210,194
