187,191,188,247,244
186,190,188,248,246
187,192,187,246,245
186,191,187,249,245
185,191,187,249,246
186,191,188,248,244
189,190,189,248,245
186,190,188,248,246
185,189,188,250,246
186,189,188,248,248
185,189,187,250,246
189,188,188,250,246
190,190,188,250,247
191,188,189,251,244
190,189,188,250,247
190,189,189,249,247
190,189,188,252,248
190,189,187,250,247
185,189,189,249,245
186,191,190,247,246
187,190,189,244,246
187,190,189,243,246
187,190,189,244,245
188,191,191,244,245
187,191,191,242,240
188,192,190,242,244
188,191,190,241,238
188,192,191,240,240
187,192,191,236,240
188,192,191,238,239
187,192,189,238,236
187,191,191,238,234
187,190,192,236,233
188,191,190,235,232
187,192,191,236,235
187,190,191,236,234
187,191,190,237,234
187,191,190,237,234
186,191,191,236,233
186,190,190,238,233
188,191,190,237,233
186,190,191,236,234
188,191,191,235,234
188,190,189,238,232
187,190,192,237,232
187,190,192,237,233
188,191,191,237,232
186,190,191,237,235
188,190,191,238,234
187,190,190,240,234
187,190,190,238,235
187,190,192,238,233
187,190,191,237,232
187,191,192,239,235
186,191,191,237,237
187,191,192,240,237
186,189,192,239,234
187,190,191,239,235
187,190,192,240,234
188,190,192,239,236
187,190,190,239,236
187,190,190,238,238
188,191,191,237,237
187,190,191,238,234
187,190,192,240,235
187,191,191,238,236
186,191,191,238,236
187,190,189,240,235
188,191,192,238,235
188,191,190,239,235
188,190,192,238,233
187,189,192,238,232
188,191,192,238,232
186,191,191,239,235
189,191,191,237,235
189,190,190,239,235
189,190,191,240,235
187,191,192,238,236
188,191,191,239,233
187,191,191,239,234
188,191,192,238,236
189,190,190,240,236
189,190,189,239,234
189,190,192,240,233
187,191,191,238,235
189,191,192,239,235
187,190,192,238,237
189,191,190,239,237
188,190,191,240,235
188,190,191,241,236
187,191,191,242,239
188,190,190,241,242
187,190,191,242,241
188,190,192,240,242
188,191,190,243,240
189,190,190,244,241
188,190,192,242,241
186,191,192,241,242
188,191,191,243,239
187,190,192,241,241
188,190,191,241,241
