2,244,"219,20",316
182,182,228,228,314
180,183,231,203,332
180,180,243,221,306
176,182,245,229,325
176,180,230,228,334
181,179,231,227,315
177,182,230,221,323
182,180,248,209,325
183,180,244,224,310
183,182,226,222,331
177,183,251,203,322
183,181,230,205,316
181,183,250,215,310
177,180,240,224,312
182,179,230,226,305
181,179,239,209,328
177,180,238,207,331
176,181,247,207,316
178,183,235,218,333
176,183,253,214,311
176,182,245,229,330
182,179,226,223,333
176,183,247,207,333
182,180,244,207,331
177,183,227,220,323
183,181,236,228,315
181,179,254,207,335
176,182,247,218,314
180,179,225,212,326
177,183,251,217,310
177,183,236,209,333
177,183,243,213,328
182,180,245,218,315
179,183,225,217,331
175,179,252,207,320
177,183,246,204,314
179,183,253,217,311
177,180,236,231,328
177,181,250,212,312
177,182,244,209,331
176,183,228,224,313
176,182,231,207,331
181,183,228,203,330
183,179,227,228,318
183,181,237,202,311
182,180,228,207,320
177,181,249,213,308
178,182,229,225,316
180,181,243,216,318
183,180,245,224,306
182,181,233,227,322
179,180,225,228,319
176,181,242,226,324
181,183,250,209,306
178,180,236,226,315
181,180,245,211,316
181,180,237,214,320
182,181,240,225,307
182,183,226,219,332
176,180,228,223,304
176,183,253,217,306
182,180,231,205,312
180,179,228,226,326
182,179,237,222,309
176,183,230,227,309
183,180,249,214,317
181,179,248,225,304
179,184,224,223,309
180,182,239,204,316
178,180,226,218,331
183,182,238,206,321
181,181,229,219,325
176,183,228,227,312
182,180,248,212,317
181,179,248,224,308
176,179,253,217,310
182,180,226,220,336
181,182,246,208,308
176,182,247,227,314
183,180,226,223,326
176,183,236,217,323
